Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
Applying use cases to design versus validate class diagrams - a controlled experiment using a professional modeling tool,"Anda, B. and Sjoberg, D.I.K.",2003,IEEE Xplore,Duplicated,,,1.0,Confirm theories
Human-Oriented Software Engineering Experiments: The Large Gap in Experiment Reports,"Falc\~{a}o, Larissa and Soares, Sergio",2021,ACM Digital Library,Duplicated,,,N/A,N/A
The Influence of Requirements in Software Model Development in an Industrial Environment,"Echeverr\'{\i}a, Jorge and P\'{e}rez, Francisca and Panach, Jose Ignacio and Cetina, Carlos and Pastor, \'{O}scar",2017,ACM Digital Library,Duplicated,,,N/A,N/A
DIGS: A Framework for Discovering Goals for Security Requirements Engineering,"Riaz, Maria and Stallings, Jonathan and Singh, Munindar P. and Slankas, John and Williams, Laurie",2016,ACM Digital Library,Duplicated,,,1.0,Evaluate the accuracy of models
Investigating training effects on software reviews: A controlled experiment,"Land, Lesley Pek Wee and Tan, Bernard C. Y. and Bin, Li",2005,El Compendex,Accepted,,Experiment,0.0,
An empirical study about the effectiveness of debugging when random test cases are used,"Ceccato, Mariano and Marchetto, Alessandro and Mariani, Leonardo and Nguyen, Cu D. and Tonella, Paolo",2012,El Compendex,Duplicated,,,1.0,Confirm theories
Composition of domain specific modeling languages: An exploratory study,"Campos, Edmilson and Freire, Marilia and Kulesza, Uira and Bezerra, Adorilson and Aranha, Eduardo",2013,El Compendex,Rejected,Out of Scope,,N/A,N/A
Identifying the implied: Findings from three differentiated replications on the use of security requirements templates,"Riaz, Maria and King, Jason and Slankas, John and Williams, Laurie and Massacci, Fabio and Quesada-Lopez, Christian and Jenkins, Marcelo",2017,El Compendex,Accepted,,Experiment,1.0,Validate measures
Towards a quality model for model composition effort,"Farias, Kleinner and Garcia, Alessandro and Lucena, Carlos and Gonzaga Jr., Luiz and Da Costa, Cristiano Andre and Da Rosa Righi, Rodrigo and Basso, Fabio and Oliveira, Toacy",2014,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Considerations and Pitfalls for Reducing Threats to the Validity of Controlled Experiments on Code Comprehension,"Feitelson, Dror G.",2022,El Compendex,Rejected,Out of Scope,,N/A,N/A
Evaluating refactorings for disciplining #ifdef annotations: An eye tracking study with novices,"da Costa, Jose Aldo Silva and Gheyi, Rohit and Ribeiro, Marcio and Apel, Sven and Alves, Vander and Fonseca, Baldoino and Medeiros, Flavio and Garcia, Alessandro",2021,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Comparing distributed and face-to-face meetings for software architecture evaluation: A controlled experiment,"Babar, Muhammad Ali and Kitchenham, Barbara and Jeffery, Ross",2008,El Compendex,Duplicated,,,N/A,N/A
Modeling Performance of Microservices Systems with Growth Theory,"Camilli, Matteo and Russo, Barbara",2022,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Incorrect results in software engineering experiments: How to improve research practices,"Jorgensen, Magne and Dyba, Tore and Liestol, Knut and Sjoberg, Dag I.K.",2016,El Compendex,Rejected,Out of Scope,,N/A,N/A
On the role of tests in test-driven development: a differentiated and partial replication,"Fucci, Davide and Turhan, Burak",2014,Springer Link,Duplicated,,,1.0,Validate measures
Comparing distributed and face-to-face meetings for software architecture evaluation: {A} controlled experiment,"Babar, Muhammad Ali and Kitchenham, Barbara and Jeffery, Ross",2008,Springer Link,Duplicated,,,N/A,N/A
How programmers read regular code: a controlled experiment using eye tracking,"Jbara, Ahmad and Feitelson, Dror G.",2017,Springer Link,Duplicated,,,1.0,Confirm theories
Software requirements prioritization and selection using linguistic tools and constraint solvers—a controlled experiment,"McZara, Jason and Sarkani, Shahryar and Holzer, Thomas and Eveleigh, Timothy",2015,Springer Link,Duplicated,,,N/A,N/A
Effectiveness and efficiency of a domain-specific language for high-performance marine ecosystem simulation: a controlled experiment,"Johanson, Arne N. and Hasselbring, Wilhelm",2017,Springer Link,Duplicated,,,1.0,Evaluate the accuracy of models
Does the level of detail of {UML} diagrams affect the maintainability of source code?: a family of experiments,"Fernández-Sáez, Ana M. and Genero, Marcela and Caivano, Danilo and Chaudron, Michel R. V.",2016,Springer Link,Duplicated,,,N/A,N/A
Do software models based on the {UML} aid in source-code comprehensibility? {Aggregating} evidence from 12 controlled experiments,"Scanniello, Giuseppe and Gravino, Carmine and Genero, Marcela and Cruz-Lemus, José A. and Tortora, Genoveffa and Risi, Michele and Dodero, Gabriella",2018,Springer Link,Duplicated,,,N/A,N/A
A practical guide to controlled experiments of software engineering tools with human participants,"Ko, Amy J. and LaToza, Thomas D. and Burnett, Margaret M.",2015,Springer Link,Duplicated,,,N/A,N/A
Developing search strategies for detecting relevant experiments,"Dieste, Oscar and Grimán, Anna and Juristo, Natalia",2009,Springer Link,Duplicated,,,N/A,N/A
Methodology {Support} in {CASE} {Tools} and {Its} {Impact} on {Individual} {Acceptance} and {Use}: {A} {Controlled} {Experiment},"Zettel, Jörg",2005,Springer Link,Duplicated,,,N/A,N/A
A systematic review of software architecture visualization techniques,Mojtaba Shahin and Peng Liang and Muhammad Ali Babar,2014,Science@Direct,Duplicated,,,N/A,N/A
Empirical investigation towards the effectiveness of Test First programming,Liang Huang and Mike Holcombe,2009,Science@Direct,Duplicated,,,1.0,Explore relationships
Incorrect results in software engineering experiments: How to improve research practices,Magne Jørgensen and Tore Dybå and Knut Liestøl and Dag I.K. Sjøberg,2016,Science@Direct,Duplicated,,,N/A,N/A
"Impact of test-driven development on productivity, code and tests: A controlled experiment",Matjaž Pančur and Mojca Ciglarič,2011,Science@Direct,Duplicated,,,1.0,Explore relationships
A systematic review of statistical power in software engineering experiments,Tore Dybå and Vigdis By Kampenes and Dag I.K. Sjøberg,2006,Science@Direct,Duplicated,,,N/A,N/A
Using Wikis to support the Net Generation in improving knowledge acquisition in capstone projects,Eric Ras and Jörg Rech,2009,Science@Direct,Duplicated,,,1.0,Evaluate the accuracy of models
Search-Based Crash Reproduction and Its Impact on Debugging,"Soltani, Mozhan and Panichella, Annibale and van Deursen, Arie",2020,IEEE Xplore,Duplicated,,,1.0,Evaluate the accuracy of models
Experimenting with information retrieval methods in the recovery of feature-code {SPL} traces,"Vale, Tassio and de Almeida, Eduardo Santana",2019,Springer Link,Duplicated,,,N/A,N/A
Evolving software trace links between requirements and source code,"Rahimi, Mona and Cleland-Huang, Jane",2018,Springer Link,Duplicated,,,1.0,Evaluate the accuracy of models
An exploratory study on assessing the energy impact of logging on {Android} applications,"Chowdhury, Shaiful and Di Nardo, Silvia and Hindle, Abram and Jiang, Zhen Ming (Jack)",2018,Springer Link,Duplicated,,,N/A,N/A
Program comprehension of domain-specific and general-purpose languages: comparison using a family of experiments,"Kosar, Tomaž and Mernik, Marjan and Carver, Jeffrey C.",2012,Springer Link,Duplicated,,,1.0,Evaluate the accuracy of models
Modeling {Performance} of {Microservices} {Systems} with {Growth} {Theory},"Camilli, Matteo and Russo, Barbara",2022,Springer Link,Duplicated,,,N/A,N/A
Automated bug assignment: {Ensemble}-based machine learning in large scale industrial contexts,"Jonsson, Leif and Borg, Markus and Broman, David and Sandahl, Kristian and Eldh, Sigrid and Runeson, Per",2016,Springer Link,Duplicated,,,N/A,N/A
A subject-based empirical evaluation of {SSUCD}’s performance in reducing inconsistencies in use case models,"El-Attar, Mohamed and Miller, James",2008,Springer Link,Duplicated,,,N/A,N/A
Identifying the implied: {Findings} from three differentiated replications on the use of security requirements templates,"Riaz, Maria and King, Jason and Slankas, John and Williams, Laurie and Massacci, Fabio and Quesada-López, Christian and Jenkins, Marcelo",2017,Springer Link,Duplicated,,,N/A,N/A
Evaluating refactorings for disciplining \#ifdef annotations: {An} eye tracking study with novices,"da Costa, José Aldo Silva and Gheyi, Rohit and Ribeiro, Márcio and Apel, Sven and Alves, Vander and Fonseca, Baldoino and Medeiros, Flávio and Garcia, Alessandro",2021,Springer Link,Duplicated,,,N/A,N/A
Prioritizing {JUnit} {Test} {Cases}: {An} {Empirical} {Assessment} and {Cost}-{Benefits} {Analysis},"Do, Hyunsook and Rothermel, Gregg and Kinneer, Alex",2006,Springer Link,Duplicated,,,N/A,N/A
An empirical study on the impact of {AspectJ} on software evolvability,"Przybyłek, Adam",2018,Springer Link,Duplicated,,,N/A,N/A
An experimental scrutiny of visual design modelling: {VCL} up against {UML}+{OCL},"Amálio, Nuno and Briand, Lionel and Kelsen, Pierre",2020,Springer Link,Duplicated,,,N/A,N/A
The effects of visualization and interaction techniques on feature model configuration,"Asadi, Mohsen and Soltani, Samaneh and Gašević, Dragan and Hatala, Marek",2016,Springer Link,Duplicated,,,1.0,Evaluate the accuracy of models
{AspectOCL}: using aspects to ease maintenance of evolving constraint specification,"Khan, Muhammad Uzair and Sartaj, Hassan and Iqbal, Muhammad Zohaib and Usman, Muhammad and Arshad, Numra",2019,Springer Link,Duplicated,,,N/A,N/A
On ({Mis})perceptions of testing effectiveness: an empirical study,"Vegas, Sira and Riofrío, Patricia and Marcos, Esperanza and Juristo, Natalia",2020,Springer Link,Duplicated,,,N/A,N/A
Effectiveness for detecting faults within and outside the scope of testing techniques: an independent replication,"Apa, Cecilia and Dieste, Oscar and Espinosa G., Edison G. and Fonseca C., Efraín R.",2014,Springer Link,Duplicated,,,1.0,Validate measures
Building measure-based prediction models for {UML} class diagram maintainability,"Genero, Marcela and Manso, Esperanza and Visaggio, Aaron and Canfora, Gerardo and Piattini, Mario",2007,Springer Link,Duplicated,,,N/A,N/A
Towards to the validation of a usability evaluation method for model-driven web development,"Fernandez, Adrian and Abrahao, Silvia and Insfran, Emilio",2010,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
The effect of noise on software engineers' performance,"Romano, Simone and Scanniello, Giuseppe and Fucci, Davide and Juristo, Natalia and Turhan, Burak",2018,El Compendex,Duplicated,,,1.0,Confirm theories
Usability evaluation based on Web design perspectives,"Conte, Tayana and Massollar, Jobson and Mendes, Emilia and Travassos, Guilherme H.",2007,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
"Finding ""early"" indicators of UML class diagrams understandability and modifiability","Genero, Marcela and Piatini, Mario and Manso, Esperanza",2004,El Compendex,Duplicated,,,1.0,Explore relationships
An empirical evaluation of a testing and debugging methodology for excel,"Carver, Jeffrey and Fisher II, Marc and Rothermel, Gregg",2006,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
Understanding software architectures by visualization - An experiment with graphical elements,"Knodel, Jens and Muthig, Dirk and Naab, Matthias",2006,El Compendex,Duplicated,,,N/A,N/A
Documenting design decision rationale to improve individual and team design decision making: An experimental evaluation,"Falessi, Davide and Cantone, Giovanni and Becker, Martin",2006,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
Assessing the impact of real-time machine translation on requirements meetings: A replicated experiment,"Calefato, Fabio and Lanubile, Filippo and Conte, Tayana and Prikladnicki, Rafael",2012,El Compendex,Duplicated,,,1.0,Confirm theories
Maximising the information gained from an experimental analysis of code inspection and static analysis for concurrent Java components,"Wojcicki, Margaret A. and Strooper, Paul",2006,El Compendex,Duplicated,,,1.0,Explore relationships
Usability evaluation of multi-device/platform user interfaces generated by model-driven engineering,"Aquino, Nathalie and Vanderdonckt, Jean and Condori-Fernandez, Nelly and Dieste, Oscar and Pastor, Oscar",2010,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
Using observational pilot studies to test and improve lab packages,"Mendonca, Manoel and Cruzes, Daniela and Dias, Josemeire and De Oliveira, Maria Cristina Ferreira",2006,El Compendex,Duplicated,,,1.0,Confirm theories
Defining and validating metrics for navigational models,"Abrahao, S. and Condori-Fernandez, N. and Olsina, L. and Pastor, O.",2003,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
On the Influence of Human Factors for Identifying Code Smells: A Multi-Trial Empirical Study,"Mello, Rafael Maiani De and Oliveira, Roberto Felicio and Garcia, Alessandro Fabricio",2017,El Compendex,Duplicated,,,1.0,Confirm theories
An experimental evaluation of inspection and testing for detection of design faults,"Andersson, C. and Thelin, T. and Runeson, P. and Dzamashvili, N.",2003,El Compendex,Duplicated,,,1.0,Explore relationships
Experimental evaluation of a tool for the verification and transformation of source code in event-driven systems,"Güleşir, Gürcan and van den Berg, Klaas and Bergmans, Lodewijk and Akşit, Mehmet",2009,Springer Link,Duplicated,,,1.0,Evaluate the accuracy of models
Program comprehension of domain-specific and general-purpose languages: replication of a family of experiments using integrated development environments,"Kosar, Tomaž and Gaberc, Sašo and Carver, Jeffrey C. and Mernik, Marjan",2018,Springer Link,Duplicated,,,1.0,Validate measures
Are test smells really harmful? {An} empirical study,"Bavota, Gabriele and Qusef, Abdallah and Oliveto, Rocco and De Lucia, Andrea and Binkley, Dave",2015,Springer Link,Duplicated,,,N/A,N/A
Extracting information from experimental software engineering papers,"Cruzes, Daniela and Mendonca, Manoel and Basili, Victor and Shull, Forrest and Jino, Mario",2007,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
